,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Period,Price,bedroom_count,CPI_all_items,covid_case
46,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2021-11-30,619181.0,1,286.849,5188982
47,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2021-12-31,621430.0,1,288.259,6328524
48,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-01-31,623650.0,1,290.151,10977318
49,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-02-28,626079.0,1,291.549,11157276
50,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-03-31,629509.0,1,293.668,12610302
51,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-04-30,633455.0,1,295.376,12702019
52,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-05-31,637872.0,1,297.881,13885656
53,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-06-30,641222.0,1,300.29,14170857
54,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-07-31,644015.0,1,301.639,15355834
55,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-08-31,645629.0,1,304.109,15987529
56,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2022-09-30,646539.0,1,306.323,15826177
